label,diff,lo,hi,lo_pat,hi_pat,seed_diff_mean,seed_diff_sd,seed_t_lo,seed_t_hi,n_seed_pairs,protocol,fm_a,fm_b,excludes_zero
CTransPath_vs_Conch_v15,-0.2639544344995931,-0.31006328047962217,-0.21792041892631475,-0.29460637186581295,-0.23324299763847786,-0.26395443449959316,0.03349711041333274,-0.3055465905436848,-0.2223622784555015,5,adam,CTransPath,Conch_v15,True
CTransPath_vs_Midnight12k,-0.22196908055329534,-0.2674777839841569,-0.1746775793650792,-0.25526217163165277,-0.188185972330927,-0.2219690805532954,0.025899758089285956,-0.2541278777349485,-0.1898102833716423,5,adam,CTransPath,Midnight12k,True
CTransPath_vs_Phikon_v2,-0.24182262001627342,-0.3190244529707787,-0.1671738006126232,-0.26555329704402947,-0.21893418243611104,-0.24182262001627342,0.08531201145436873,-0.3477514732535102,-0.13589376677903664,5,adam,CTransPath,Phikon_v2,True
CTransPath_vs_ResNet50,0.2722538649308381,0.21255834983014402,0.3331772086594245,0.2425352539014507,0.3020614589393302,0.2722538649308381,0.06937601477399308,0.18611216504711842,0.35839556481455775,5,adam,CTransPath,ResNet50,True
CTransPath_vs_UNI_v2,-0.22929210740439376,-0.2928872049943114,-0.16517838921573313,-0.25888077858880776,-0.19965578502715653,-0.22929210740439382,0.07976743508030378,-0.328336459772663,-0.13024775503612462,5,adam,CTransPath,UNI_v2,True
CTransPath_vs_Virchow2,-0.2787632221318145,-0.3213418682615757,-0.23406757654929894,-0.3117856889141476,-0.24779224058516527,-0.27876322213181454,0.04277225384627901,-0.3318719898547717,-0.22565445440885742,5,adam,CTransPath,Virchow2,True
Conch_v15_vs_Midnight12k,0.041985353946297765,0.010831576305220908,0.0732071819739978,0.0199988399071927,0.06251065425508473,0.041985353946297786,0.031157279801042635,0.0032984813353818115,0.08067222655721376,5,adam,Conch_v15,Midnight12k,True
Conch_v15_vs_Phikon_v2,0.02213181448331969,-0.04935820262017571,0.09136478201152597,0.0016643304433719807,0.04281191243620741,0.022131814483319755,0.08605763504884142,-0.08472285272738507,0.12898648169402457,5,adam,Conch_v15,Phikon_v2,False
Conch_v15_vs_ResNet50,0.5362082994304311,0.4763134321961256,0.594194319430627,0.5041309239545558,0.5677108277102167,0.5362082994304312,0.056779335057396275,0.4657074432477134,0.6067091556131491,5,adam,Conch_v15,ResNet50,True
Conch_v15_vs_UNI_v2,0.03466232709519934,-0.020901969961281675,0.09476698303434859,0.017766268069831587,0.05058490631181734,0.03466232709519934,0.08464041852183514,-0.0704326333762624,0.1397572875666611,5,adam,Conch_v15,UNI_v2,False
Conch_v15_vs_Virchow2,-0.014808787632221376,-0.04266039554748552,0.010820338914557434,-0.0287088691602157,-0.00015970515970504265,-0.014808787632221354,0.02209978297547485,-0.04224929252098494,0.012631717256542227,5,adam,Conch_v15,Virchow2,False
Midnight12k_vs_Phikon_v2,-0.019853539462978076,-0.09101797813984673,0.05156459065557538,-0.04219659619348959,0.0011452260677557724,-0.01985353946297803,0.0826537789891514,-0.12248176114929803,0.08277468222334196,5,adam,Midnight12k,Phikon_v2,False
Midnight12k_vs_ResNet50,0.4942229454841334,0.43620372803796814,0.5537439163893512,0.4608734927642301,0.5261626348811558,0.4942229454841335,0.06060773930184872,0.4189684975805086,0.5694773933877584,5,adam,Midnight12k,ResNet50,True
Midnight12k_vs_UNI_v2,-0.007323026851098424,-0.061842973671083316,0.04979339906804311,-0.025514669219569658,0.009647172789051639,-0.007323026851098447,0.061263435261451796,-0.08339162882153014,0.06874557511933324,5,adam,Midnight12k,UNI_v2,False
Midnight12k_vs_Virchow2,-0.05679414157851914,-0.08381594150024796,-0.031118394377618715,-0.07817749837133554,-0.036275638334059786,-0.05679414157851914,0.025160686517071373,-0.08803526019685752,-0.02555302296018076,5,adam,Midnight12k,Virchow2,True
Phikon_v2_vs_ResNet50,0.5140764849471116,0.4350687352710133,0.5998472983555206,0.48517600759363533,0.5423985303133733,0.5140764849471114,0.0415784395057349,0.46245003351134734,0.5657029363828756,5,adam,Phikon_v2,ResNet50,True
Phikon_v2_vs_UNI_v2,0.012530512611879652,-0.0732964402481608,0.0976863195541144,-0.005440990169251042,0.030674056159286235,0.012530512611879586,0.0939332186998971,-0.10410298328318322,0.1291640085069424,5,adam,Phikon_v2,UNI_v2,False
Phikon_v2_vs_Virchow2,-0.036940602115541066,-0.10978575551586678,0.029862375841180053,-0.05726584088764579,-0.016799303797468284,-0.03694060211554111,0.08447011845334339,-0.14182410712306504,0.0679429028919828,5,adam,Phikon_v2,Virchow2,False
ResNet50_vs_UNI_v2,-0.5015459723352318,-0.5752424144528392,-0.43022510533138886,-0.5316044955718137,-0.4714242822829691,-0.5015459723352318,0.07687908075277593,-0.5970039591209536,-0.40608798554951,5,adam,ResNet50,UNI_v2,True
ResNet50_vs_Virchow2,-0.5510170870626525,-0.6099909877386831,-0.49684277672873295,-0.5825883435716884,-0.5175402183524931,-0.5510170870626526,0.05159397062563825,-0.6150794629128902,-0.48695471121241507,5,adam,ResNet50,Virchow2,True
UNI_v2_vs_Virchow2,-0.04947111472742072,-0.1057794702799466,0.003227734328633963,-0.06523539910381995,-0.03420178460334754,-0.0494711147274207,0.06695220779500863,-0.13260326074674034,0.03366103129189894,5,adam,UNI_v2,Virchow2,False
CTransPath_vs_Conch_v15,-0.07583401139137502,-0.11934610155315847,-0.03954351006413438,-0.09346153022896116,-0.05899574030876408,-0.07583401139137506,0.04748095325031574,-0.1347894016426881,-0.016878621140062014,5,sgd,CTransPath,Conch_v15,True
CTransPath_vs_Midnight12k,-0.04214808787632218,-0.08855505050505044,-0.0023358942446218877,-0.06270198551026428,-0.02261621241336183,-0.0421480878763222,0.05432852207600981,-0.10960585781372201,0.025309682061077594,5,sgd,CTransPath,Midnight12k,True
CTransPath_vs_Phikon_v2,-0.10919446704637914,-0.15336597823673118,-0.07127154852378868,-0.12715452001755262,-0.09123191640071202,-0.10919446704637917,0.05278327136585085,-0.17473355480877578,-0.04365537928398254,5,sgd,CTransPath,Phikon_v2,True
