grid,fm,key,algorithm,optimizer,lr,seed,checkpoint_dtype,acc_json,acc_archived,acc_checkpoint,n_diff_vs_archived,n_diff_vs_json,shift_vs_archived_pp,shift_vs_json_pp
sgd,UNI_v2,354d2de1826b,SCAFFOLD,sgd,0.03,1,torch.float16,0.772986167615948,0.772986167615948,0.772986167615948,0,0,0.0,0.0
sgd,UNI_v2,3635bafca89f,FedAvg,sgd,0.03,1,torch.float16,0.9365337672904801,0.9365337672904801,0.9365337672904801,0,0,0.0,0.0
sgd,UNI_v2,37d8daf94aaf,FedProx,sgd,0.003,0,torch.float16,0.8901545972335232,0.8901545972335232,0.8901545972335232,0,0,0.0,0.0
sgd,UNI_v2,391936f1bb9b,SCAFFOLD,sgd,0.03,3,torch.float16,0.7965825874694874,0.7973962571196095,0.7965825874694874,1,0,-0.08136696501220841,0.0
sgd,UNI_v2,3af9ba22ccc2,FedProx,sgd,0.01,4,torch.float16,0.9308380797396257,0.9308380797396257,0.9308380797396257,0,0,0.0,0.0
sgd,UNI_v2,3e9b3f76c17f,SCAFFOLD,sgd,0.03,2,torch.float16,0.7689178193653377,0.7689178193653377,0.7689178193653377,0,0,0.0,0.0
sgd,UNI_v2,3f09fba3537d,SCAFFOLD,sgd,0.03,4,torch.float16,0.7656631407648494,0.7664768104149715,0.7656631407648494,2,0,-0.08136696501220841,0.0
sgd,UNI_v2,4982097dc8b7,FedAvg,sgd,0.1,0,torch.float16,0.7721724979658259,0.7721724979658259,0.7721724979658259,0,0,0.0,0.0
sgd,UNI_v2,4b1647dfb3cb,FedProx,sgd,0.003,3,torch.float16,0.8681855166802278,0.8673718470301057,0.8681855166802278,1,0,0.08136696501220841,0.0
sgd,UNI_v2,4db4cc373d4c,SCAFFOLD,sgd,0.01,4,torch.float16,0.8909682668836453,0.8909682668836453,0.8909682668836453,0,0,0.0,0.0
sgd,UNI_v2,531166851bdb,FedProx,sgd,0.003,1,torch.float16,0.8999186330349878,0.8999186330349878,0.8999186330349878,0,0,0.0,0.0
sgd,UNI_v2,5989fb5acc48,FedProx,sgd,0.1,2,torch.float16,0.7225386493083807,0.7233523189585028,0.7225386493083807,1,0,-0.08136696501220841,0.0
sgd,UNI_v2,5a9ae148f593,FedProx,sgd,0.01,2,torch.float16,0.8795768917819365,0.8795768917819365,0.8795768917819365,0,0,0.0,0.0
sgd,UNI_v2,5f794406c0f1,FedProx,sgd,0.03,3,torch.float16,0.9462978030919447,0.9462978030919447,0.9462978030919447,0,0,0.0,0.0
