diff,lo,hi,lo_pat,hi_pat,seed_diff_mean,seed_diff_sd,seed_t_lo,seed_t_hi,n_seed_pairs,fm,optimizer,fl_acc,central_acc
0.034987794955248175,0.018556534355281467,0.05456715398755704,0.024334428135741718,0.045662358973310294,0.034987794955248154,0.01845613705811839,0.012071474024268218,0.05790411588622809,5.0,UNI_v2,sgd,0.9337672904800651,0.9687550854353132
0.06297803091944676,0.03682675976847053,0.0958613209587828,0.049882579674888086,0.07616707413249216,0.06297803091944672,0.035679205405050485,0.018676446083478383,0.10727961575541506,5.0,Virchow2,sgd,0.9074043938161106,0.9705451586655819
0.016761594792514267,0.006203325651950475,0.028337643384302873,0.0076126561601479875,0.026457492576828796,0.016761594792514246,0.0043285390002507414,0.011387003751081988,0.022136185833946505,5.0,Phikon_v2,sgd,0.9516680227827502,0.9684296175752645
0.024898291293734776,0.01326701495946093,0.036214764424288434,0.014409881235154642,0.03537854478890333,0.024898291293734776,0.003666031025571602,0.020346312552984497,0.029450270034485054,5.0,Conch_v15,sgd,0.9183075671277461,0.943205858421481
0.10317331163547594,0.06454803892944032,0.146468209154774,0.08510292585600557,0.12186067415272474,0.10317331163547601,0.04834115410134643,0.043149840956213915,0.1631967823147381,5.0,CTransPath,sgd,0.8424735557363711,0.945646867371847
0.06590724165988604,0.04574467956461475,0.08610025953509366,0.04734968397911496,0.08534077555816676,0.06590724165988608,0.00548850185648171,0.05909236650061822,0.07272211681915394,5.0,Midnight12k,sgd,0.8846216436126934,0.9505288852725793
0.27030105777054514,0.2241646549882505,0.3174660441426147,0.24161446760575025,0.2968941576151636,0.27030105777054525,0.0506616364696892,0.20739632767604532,0.3332057878650452,5.0,ResNet50,sgd,0.6358014646053702,0.9062652563059398
0.051451044209384324,0.03918905894997908,0.0644331407093853,,,,,,,,MEAN_PATHOLOGY,sgd,,
0.13246541903986986,0.08016432408734289,0.1870875436300175,0.11233221966205832,0.15190746491833435,0.1324654190398698,0.0683274213679535,0.04762571983718336,0.21730511824255624,5.0,UNI_v2,adam,0.8359641985353946,0.9684296175752645
0.08071602929210742,0.0614072286651009,0.10097297057971188,0.06479303748253849,0.09717528178317458,0.08071602929210737,0.010785343908627813,0.06732425605251795,0.0941078025316968,5.0,Virchow2,adam,0.8854353132628153,0.9661513425549227
0.11960943856794137,0.055863146448024203,0.18601082749339237,0.10276236878666267,0.1386973390879784,0.1196094385679414,0.08252431579911867,0.017141966663777652,0.22207691047210515,5.0,Phikon_v2,adam,0.8484947111472743,0.9681041497152156
0.07078925956061843,0.045037116006714076,0.09760069605601983,0.053942951830716145,0.08752132643015194,0.07078925956061839,0.02443719677409474,0.040446472109203796,0.10113204701203299,5.0,Conch_v15,adam,0.8704637917005696,0.9414157851912124
0.3412530512611879,0.2951689729432087,0.3887308287028887,0.3073424901235818,0.37438236328468416,0.341253051261188,0.03555373273359822,0.29710726132412035,0.3853988411982556,5.0,CTransPath,adam,0.6065093572009764,0.9479251423921887
0.12400325467860052,0.0988930051902521,0.15052973334068762,0.10162317992992445,0.14654612523232247,0.12400325467860049,0.016471535785933508,0.10355114169808191,0.14445536765911907,5.0,Midnight12k,adam,0.8286411716842963,0.9526444263628967
0.5777054515866558,0.520032827458876,0.632546972782139,0.5446044460480686,0.6097591087021981,0.5777054515866558,0.05447030630850659,0.5100716332722517,0.6453392699010598,5.0,ResNet50,adam,0.3358828315703824,0.9121236777868186
0.14480607540005425,0.12245748194014454,0.16730868100385643,,,,,,,,MEAN_PATHOLOGY,adam,,
0.12302685109845402,0.08526067198416332,0.1656135979838416,0.1038374599703194,0.14299837302719318,0.12302685109845399,0.04332513924763221,0.06923158547750416,0.17682211671940382,5.0,UNI_v2,adam_sel,0.8454027664768103,0.9684296175752645
0.07436940602115549,0.0470118850629496,0.10491032402557547,0.05936474290464308,0.08958704032392266,0.07436940602115538,0.031061512517980977,0.03580144419782286,0.11293736784448791,5.0,Virchow2,adam_sel,0.8917819365337672,0.9661513425549227
0.03628966639544351,0.011320059907976512,0.07139440731245492,0.025211332840396446,0.047710617528471506,0.03628966639544344,0.040580014889355566,-0.014097077139242069,0.08667640993012896,5.0,Phikon_v2,adam_sel,0.9318144833197721,0.9681041497152156
0.05093572009764036,0.03393967921532573,0.07033106761982907,0.03783714424432961,0.06504633529907305,0.05093572009764034,0.012534210564627021,0.03537244209363769,0.06649899810164298,5.0,Conch_v15,adam_sel,0.8904800650935721,0.9414157851912124
0.24686737184703,0.16773025785006596,0.31957324057141523,0.22038388932690248,0.273263691788766,0.2468673718470301,0.09325058886416465,0.13108147284309601,0.36265327085096416,5.0,CTransPath,adam_sel,0.701220504475183,0.9479251423921887
0.09113100081366965,0.06310374522309603,0.12309313925635579,0.0701100364451917,0.11300497223298454,0.09113100081366965,0.024880203175623557,0.060238148262502914,0.12202385336483638,5.0,Midnight12k,adam_sel,0.861513425549227,0.9526444263628967
0.5777054515866558,0.5216352196300966,0.6299270424749468,0.5430428929336832,0.609357577666386,0.5777054515866558,0.05447030630850659,0.5100716332722517,0.6453392699010598,5.0,ResNet50,adam_sel,0.3358828315703824,0.9121236777868186
0.10377000271223218,0.0840801277875491,0.12338864486686535,,,,,,,,MEAN_PATHOLOGY,adam_sel,,
