grid,fm,key,kind,algorithm,optimizer,lr,mu,k,sampling,partition,ft,arch,legacy_drop_last,protocol,seed,best_val,acc,bacc,f1,macro,train_macro,rounds,best_round,acc_json,bacc_json,f1_json,n_changed_predictions,acc_shift_pp,recall_LUAD,recall_PAAD
central,CTransPath,09da0ff82898,central,central-tuned,sgd,0.01,,-1,,project_tss,raw,mlp,False,tuned,0,0.9755555987358093,0.9528071602929211,0.9486490901232314,0.9454004255537628,0.9443403464630216,,228.0,178,0.9528071602929211,0.9486490901232314,0.9454004255537628,0,0.0,1.0,0.9512195121951219
central,CTransPath,1b258dfbd202,central,central-tuned,adam,0.001,,-1,,project_tss,raw,mlp,False,tuned,1,0.9733333587646484,0.9422294548413345,0.9361554903380487,0.9335602487681798,0.9338359826486891,,197.0,147,0.9422294548413345,0.9361554903380487,0.9335602487681798,0,0.0,0.9916666666666667,0.9512195121951219
central,CTransPath,259e830f5bec,central,central-tuned,sgd,0.03,,-1,,project_tss,raw,mlp,False,tuned,2,0.9733333587646484,0.9251423921887714,0.9000819826516265,0.9061374324615391,0.917957506211287,,100.0,48,0.9251423921887714,0.9000819826516265,0.9061374324615391,0,0.0,0.9916666666666667,0.7073170731707317
central,CTransPath,25fa436cf578,central,central-tuned,adam,0.0001,,-1,,project_tss,raw,mlp,False,tuned,1,0.9733333587646484,0.9552481692432873,0.9436994650434496,0.9446197180877302,0.9471519252214768,,153.0,103,0.9552481692432873,0.9436994650434496,0.9446197180877302,0,0.0,0.9833333333333333,0.8780487804878049
central,CTransPath,27f8450cac7c,central,central-tuned,sgd,0.003,,-1,,project_tss,raw,mlp,False,tuned,1,0.9644444584846497,0.9389747762408462,0.9349780495849499,0.9278823571501553,0.9241814982790875,,234.0,184,0.9389747762408462,0.9349780495849499,0.9278823571501553,0,0.0,0.9916666666666667,0.926829268292683
central,CTransPath,2d7ad4ad8c6a,central,central-tuned,sgd,0.01,,-1,,project_tss,raw,mlp,False,tuned,1,0.9755555987358093,0.951179820992677,0.9452997993718716,0.9433583664838356,0.9451070814587286,,284.0,234,0.951179820992677,0.9452997993718716,0.9433583664838356,0,0.0,1.0,0.9512195121951219
central,CTransPath,4190467852cf,central,central-legacy,adam,0.0003,,-1,,project_tss,raw,mlp,False,legacy,3,-1.0,0.9462978030919447,0.9389884876926123,0.9357705883911349,0.9378669388336869,,300.0,0,0.9462978030919447,0.9389884876926123,0.9357705883911349,0,0.0,0.9916666666666667,0.926829268292683
central,CTransPath,45b255dd6dcb,central,central-tuned,adam,0.0001,,-1,,project_tss,raw,mlp,False,tuned,4,0.9711111187934875,0.9406021155410903,0.9259436924247552,0.9274231735112018,0.928839282804473,,100.0,50,0.9406021155410903,0.9259436924247552,0.9274231735112018,0,0.0,1.0,0.8536585365853658
central,CTransPath,58515aa2ddff,central,central-tuned,sgd,0.1,,-1,,project_tss,raw,mlp,False,tuned,2,0.9511111378669739,0.9300244100895037,0.921935610430569,0.9150862422518438,0.9190927211114635,,111.0,61,0.9300244100895037,0.921935610430569,0.9150862422518438,0,0.0,0.9583333333333334,0.926829268292683
central,CTransPath,5cdba09522c7,central,central-tuned,adam,0.001,,-1,,project_tss,raw,mlp,False,tuned,3,0.9644444584846497,0.9389747762408462,0.9349556197648864,0.9297105275898289,0.9291718818475437,,113.0,63,0.9389747762408462,0.9349556197648864,0.9297105275898289,0,0.0,1.0,0.9512195121951219
central,CTransPath,7008139db248,central,central-legacy,adam,0.0003,,-1,,project_tss,raw,mlp,False,legacy,0,-1.0,0.950366151342555,0.942577769213893,0.9447197128906468,0.9417264230670029,,300.0,0,0.950366151342555,0.942577769213893,0.9447197128906468,0,0.0,1.0,0.926829268292683
central,CTransPath,71e0cd470055,central,central-tuned,adam,0.001,,-1,,project_tss,raw,mlp,False,tuned,4,0.9733333587646484,0.9365337672904801,0.924633424688114,0.9242013732740967,0.9274291408843981,,184.0,134,0.9365337672904801,0.924633424688114,0.9242013732740967,0,0.0,0.9916666666666667,0.9024390243902439
central,CTransPath,72852d7151fe,central,central-tuned,sgd,0.003,,-1,,project_tss,raw,mlp,False,tuned,4,0.9666666984558105,0.9332790886899919,0.9268235077511703,0.9242220344718606,0.9240460568091836,,214.0,164,0.9332790886899919,0.9268235077511703,0.9242220344718606,0,0.0,1.0,0.926829268292683
central,CTransPath,76b504e1d6de,central,central-tuned,sgd,0.01,,-1,,project_tss,raw,mlp,False,tuned,4,0.9755555987358093,0.9422294548413345,0.9334117965859914,0.9322098444774003,0.9315351893555199,,162.0,112,0.9422294548413345,0.9334117965859914,0.9322098444774003,0,0.0,0.9916666666666667,0.926829268292683
central,CTransPath,846eb1717222,central,central-tuned,sgd,0.1,,-1,,project_tss,raw,mlp,False,tuned,3,0.948888897895813,0.9153783563873068,0.9169916946019079,0.9054806899962331,0.9020714504291643,,161.0,111,0.9153783563873068,0.9169916946019079,0.9054806899962331,0,0.0,0.9916666666666667,0.926829268292683
central,CTransPath,8633ffb1a479,central,central-tuned,sgd,0.03,,-1,,project_tss,raw,mlp,False,tuned,4,0.9711111187934875,0.9430431244914564,0.940895587452214,0.9361000394281541,0.9336679129835707,,103.0,53,0.9430431244914564,0.940895587452214,0.9361000394281541,0,0.0,1.0,0.926829268292683
central,CTransPath,8923177ae9bf,central,central-tuned,sgd,0.01,,-1,,project_tss,raw,mlp,False,tuned,2,0.9666666984558105,0.9365337672904801,0.9310695380740128,0.9288205985894048,0.9304025102518486,,120.0,70,0.9365337672904801,0.9310695380740128,0.9288205985894048,0,0.0,1.0,0.9512195121951219
